qseqid	DB ID	Protein description	DB description	EC number	CDD ID	taxonomic_range_name	taxonomic_range	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	General functional category	Functional category	KO
tr|A0LLE3|A0LLE3_SYNFM	PRK04452	acetyl-CoA decarbonylase/synthase complex subunit delta	acetyl-CoA decarbonylase/synthase complex subunit delta; Provisional		CDD:235301	Euryarchaeota	28890	54.921	315.0	139.0	3.0	1.0	314.0	1.0	313.0	6.860000000000001e-179	495.0			
tr|A0LLE3|A0LLE3_SYNFM	cl00219		N/A. This family includes a variety of pterin binding enzymes that all adopt a TIM barrel fold. The family includes dihydropteroate synthase EC:2.5.1.15 as well as a group methyltransferase enzymes including methyltetrahydrofolate, corrinoid iron-sulfur protein methyltransferase (MeTr) that catalyzes a key step in the Wood-Ljungdahl pathway of carbon dioxide fixation. It transfers the N5-methyl group from methyltetrahydrofolate (CH3-H4folate) to a cob(I)amide centre in another protein, the corrinoid iron-sulfur protein. MeTr is a member of a family of proteins that includes methionine synthase and methanogenic enzymes that activate the methyl group of methyltetra-hydromethano(or -sarcino)pterin.		CDD:444759															
tr|A0LLE3|A0LLE3_SYNFM	cl46196		CO dehydrogenase/acetyl-CoA synthase delta subunit (corrinoid Fe-S protein) [Energy production and conversion]. This is the small subunit of a heterodimer which catalyzes the reaction CO + H2O + Acceptor = CO2 + Reduced acceptor and is involved in the synthesis of acetyl-CoA from CO2 and H2. [Energy metabolism, Chemoautotrophy]		CDD:480536															
tr|A0LLS9|A0LLS9_SYNFM	COG1905	NADH:ubiquinone oxidoreductase 24 kD subunit (chain E)	NADH:ubiquinone oxidoreductase 24 kD subunit (chain E) [Energy production and conversion]. NADH:ubiquinone oxidoreductase 24 kD subunit (chain E) is part of the Pathway/BioSystem: NADH dehydrogenase	1.6.5.3	CDD:441509			47.619	147.0	77.0	0.0	1.0	147.0	10.0	156.0	1.3e-76	222.0	METABOLISM	Energy production and conversion 	K00127,K00334
tr|A0LLS9|A0LLS9_SYNFM	KOG3196	NADH:ubiquinone oxidoreductase, NDUFV2/24 kD subunit	KOG3196, NADH:ubiquinone oxidoreductase, NDUFV2/24 kD subunit [Energy production and conversion]		CDD:231134			42.336	137.0	79.0	0.0	15.0	151.0	59.0	195.0	3.3299999999999997e-40	132.0	METABOLISM	Energy production and conversion 	
tr|A0LLS9|A0LLS9_SYNFM	PRK07539	NADH-quinone oxidoreductase subunit NuoE	NADH-quinone oxidoreductase subunit NuoE. 	1.6.5.11	CDD:181024	cellular organisms	131567	40.69	145.0	86.0	0.0	1.0	145.0	6.0	150.0	8.35e-65	193.0			
tr|A0LLS9|A0LLS9_SYNFM	PRK07539	NADH-quinone oxidoreductase subunit NuoE	NADH-quinone oxidoreductase subunit NuoE. 	1.6.5.11	CDD:181024	Bacteria	2	40.69	145.0	86.0	0.0	1.0	145.0	6.0	150.0	8.35e-65	193.0			
tr|A0LLS9|A0LLS9_SYNFM	TIGR01958	NADH-quinone oxidoreductase subunit NuoE	NADH-quinone oxidoreductase, E subunit. This model describes the E chain of complexes that resemble NADH-quinone oxidoreductases. The electron acceptor is a quinone, ubiquinone, in mitochondria and most bacteria, including Escherichia coli, where the recommended gene symbol is nuoB. This model does not identify proteins from chloroplast and cyanobacteria. [Energy metabolism, Electron transport]		CDD:131013	cellular organisms	131567	37.5	144.0	88.0	1.0	4.0	145.0	1.0	144.0	5.9999999999999995e-53	161.0			
tr|A0LLS9|A0LLS9_SYNFM	cd03064		TRX-like [2Fe-2S] Ferredoxin (Fd) family, NADH:ubiquinone oxidoreductase (Nuo) subunit E subfamily; Nuo, also called respiratory chain Complex 1, is the entry point for electrons into the respiratory chains of bacteria and the mitochondria of eukaryotes. It is a multisubunit complex with at least 14 core subunits. It catalyzes the electron transfer of NADH to quinone coupled with the transfer of protons across the membrane, providing the proton motive force required for energy-consuming processes. Electrons are transferred from NADH to quinone through a chain of iron-sulfur clusters in Nuo, including the [2Fe-2S] cluster present in NuoE core subunit, also called the 24 kD subunit of Complex 1. This subfamily also include formate dehydrogenases, NiFe hydrogenases and NAD-reducing hydrogenases, that contain a NuoE domain. A subset of these proteins contain both NuoE and NuoF in a single chain. NuoF, also called the 51 kD subunit of Complex 1, contains one [4Fe-4S] cluster and also binds the NADH substrate and FMN.		CDD:239362			50.633	79.0	39.0	0.0	69.0	147.0	1.0	79.0	1.6e-39	126.0			
tr|A0LLS9|A0LLS9_SYNFM	pfam01257	NAD(P)H-dependent oxidoreductase subunit E	Thioredoxin-like [2Fe-2S] ferredoxin. 		CDD:460139	cellular organisms	131567	45.455	143.0	78.0	0.0	5.0	147.0	1.0	143.0	5.67e-72	210.0			
tr|A0LLT0|A0LLT0_SYNFM	COG1894	NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F)	NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F) [Energy production and conversion]. NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F) is part of the Pathway/BioSystem: NADH dehydrogenase	1.6.5.3	CDD:441498			59.434	424.0	153.0	3.0	124.0	537.0	3.0	417.0	0.0	778.0	METABOLISM	Energy production and conversion 	K00124
tr|A0LLT0|A0LLT0_SYNFM	COG2768	Uncharacterized Fe-S cluster protein	Uncharacterized Fe-S cluster protein [Function unknown]. 		CDD:442050			50.0	56.0	27.0	1.0	547.0	602.0	3.0	57.0	1.01e-15	69.4	POORLY CHARACTERIZED	Function unknown 	K00335
tr|A0LLT0|A0LLT0_SYNFM	COG2768	Uncharacterized Fe-S cluster protein	Uncharacterized Fe-S cluster protein [Function unknown]. 		CDD:442050			31.373	51.0	26.0	2.0	537.0	582.0	21.0	67.0	8.36e-05	38.6	POORLY CHARACTERIZED	Function unknown 	K00335
tr|A0LLT0|A0LLT0_SYNFM	COG3411	2Fe-2S ferredoxin	2Fe-2S ferredoxin [Energy production and conversion]. 2Fe-2S ferredoxin is part of the Pathway/BioSystem: 2Fe2S	1.6.5.3	CDD:442637			47.917	96.0	49.0	1.0	11.0	106.0	2.0	96.0	4.99e-33	119.0	METABOLISM	Energy production and conversion 	
tr|A0LLT0|A0LLT0_SYNFM	KOG2658	NADH:ubiquinone oxidoreductase, NDUFV1/51kDa subunit	KOG2658, NADH:ubiquinone oxidoreductase, NDUFV1/51kDa subunit [Energy production and conversion]		CDD:230597			40.05	402.0	234.0	5.0	140.0	536.0	68.0	467.0	8.17e-108	330.0	METABOLISM	Energy production and conversion 	
tr|A0LLT0|A0LLT0_SYNFM	KOG3256	NADH:ubiquinone oxidoreductase, NDUFS8/23 kDa subunit	KOG3256, NADH:ubiquinone oxidoreductase, NDUFS8/23 kDa subunit [Energy production and conversion]		CDD:231194			36.923	65.0	32.0	3.0	547.0	602.0	103.0	167.0	2.93e-06	46.1	METABOLISM	Energy production and conversion 	
tr|A0LLT0|A0LLT0_SYNFM	PRK13795	hypothetical protein (Provisional)	hypothetical protein; Provisional		CDD:237510	Archaea	2157	42.857	42.0	23.0	1.0	557.0	597.0	583.0	624.0	1.14e-07	53.1			
tr|A0LLT0|A0LLT0_SYNFM	PRK13795	hypothetical protein (Provisional)	hypothetical protein; Provisional		CDD:237510	Methanomicrobia	224756	42.857	42.0	23.0	1.0	557.0	597.0	583.0	624.0	1.14e-07	53.1			
tr|A0LLT0|A0LLT0_SYNFM	PRK13795	hypothetical protein (Provisional)	hypothetical protein; Provisional		CDD:237510	Thermococcaceae	2259	42.857	42.0	23.0	1.0	557.0	597.0	583.0	624.0	1.14e-07	53.1			
tr|A0LLT0|A0LLT0_SYNFM	PRK13795	hypothetical protein (Provisional)	hypothetical protein; Provisional		CDD:237510	Euryarchaeota	28890	42.857	42.0	23.0	1.0	557.0	597.0	583.0	624.0	1.14e-07	53.1			
tr|A0LLT0|A0LLT0_SYNFM	TIGR01944	RnfABCDGE type electron transport complex subunit B	electron transport complex, RnfABCDGE type, B subunit. The six subunit complex RnfABCDGE in Rhodobacter capsulatus encodes an apparent NADH oxidoreductase responsible for electron transport to nitrogenase, necessary for nitrogen fixation. A closely related complex in E. coli, RsxABCDGE (Reducer of SoxR), reduces the 2Fe-2S-containing superoxide sensor SoxR, active as a transcription factor when oxidized. This family of putative NADH oxidoreductase complexes exists in many of the same species as the related NQR, a Na(+)-translocating NADH-quinone reductase, but is distinct. This model describes the B subunit. [Energy metabolism, Electron transport]		CDD:273887	cellular organisms	131567	28.846	52.0	37.0	0.0	552.0	603.0	110.0	161.0	7.14e-06	43.6			
tr|A0LLT0|A0LLT0_SYNFM	cd02980		Thioredoxin (TRX)-like [2Fe-2S] Ferredoxin (Fd) family; composed of [2Fe-2S] Fds with a TRX fold (TRX-like Fds) and proteins containing domains similar to TRX-like Fd including formate dehydrogenases, NAD-reducing hydrogenases and the subunit E of NADH:ubiquinone oxidoreductase (NuoE). TRX-like Fds are soluble low-potential electron carriers containing a single [2Fe-2S] cluster. The exact role of TRX-like Fd is still unclear. It has been suggested that it may be involved in nitrogen fixation. Its homologous domains in large redox enzymes (such as Nuo and hydrogenases) function as electron carriers.		CDD:239278			42.667	75.0	43.0	0.0	15.0	89.0	1.0	75.0	1.5899999999999998e-23	92.7			
tr|A0LLT0|A0LLT0_SYNFM	cl25360		Beta subunit of the DMSO Reductase (DMSOR) family. This family consists of the small beta iron-sulfur (FeS) subunit of the DMSO Reductase (DMSOR) family. Members of this family also contain a large, periplasmic molybdenum-containing alpha subunit and may have a small gamma subunit as well.  Examples of heterodimeric members with alpha and beta subunits include arsenite oxidase, and tungsten-containing formate dehydrogenase (FDH-T) while   heterotrimeric members containing alpha, beta, and gamma subunits include formate dehydrogenase-N (FDH-N), and nitrate reductase (NarGHI).  The beta subunit contains four Fe4/S4 and/or Fe3/S4 clusters which transfer the electrons from the alpha subunit to a hydrophobic integral membrane protein, presumably a cytochrome containing two b-type heme groups. The reducing equivalents are then transferred to menaquinone, which finally reduces the electron-accepting enzyme system.		CDD:355383															
tr|A0LLT0|A0LLT0_SYNFM	cl42527		NADH-quinone oxidoreductase subunit NuoF. This model describes the F chain of complexes that resemble NADH-quinone oxidoreductases. The electron acceptor is a quinone, ubiquinone, in mitochondria and most bacteria, including Escherichia coli, where the recommended gene symbol is nuoF. This family does not have any members in chloroplast or cyanobacteria, where the quinone may be plastoquinone and NADH may be replaced by NADPH, nor in Methanosarcina, where NADH is replaced by F420H2. [Energy metabolism, Electron transport]		CDD:455872															
tr|A0LLT0|A0LLT0_SYNFM	cl42527		NADH-quinone oxidoreductase subunit NuoF. This model describes the F chain of complexes that resemble NADH-quinone oxidoreductases. The electron acceptor is a quinone, ubiquinone, in mitochondria and most bacteria, including Escherichia coli, where the recommended gene symbol is nuoF. This family does not have any members in chloroplast or cyanobacteria, where the quinone may be plastoquinone and NADH may be replaced by NADPH, nor in Methanosarcina, where NADH is replaced by F420H2. [Energy metabolism, Electron transport]		CDD:455872															
tr|A0LLT0|A0LLT0_SYNFM	pfam01257	NAD(P)H-dependent oxidoreductase subunit E	Thioredoxin-like [2Fe-2S] ferredoxin. 		CDD:460139	cellular organisms	131567	26.19	84.0	56.0	3.0	10.0	89.0	61.0	142.0	5.75e-05	41.7			
tr|A0LLT0|A0LLT0_SYNFM	pfam01512	Respiratory-chain NADH dehydrogenase 51 Kd subunit (Provisional)	Respiratory-chain NADH dehydrogenase 51 Kd subunit. 		CDD:460237	cellular organisms	131567	36.478	159.0	79.0	4.0	180.0	338.0	14.0	150.0	5.6899999999999994e-46	157.0			
tr|A0LLT0|A0LLT0_SYNFM	pfam10589	NADH-ubiquinone oxidoreductase-F iron-sulfur binding region (Provisional)	NADH-ubiquinone oxidoreductase-F iron-sulfur binding region. 		CDD:463160	cellular organisms	131567	61.176	85.0	33.0	0.0	449.0	533.0	1.0	85.0	2.26e-45	153.0			
tr|A0LLT0|A0LLT0_SYNFM	pfam13187	4Fe-4S dicluster domain (Provisional)	4Fe-4S dicluster domain. 		CDD:463801	cellular organisms	131567	38.0	50.0	28.0	1.0	556.0	602.0	1.0	50.0	1.33e-06	43.7			
tr|A0LLT0|A0LLT0_SYNFM	smart00928	NADH-ubiquinone oxidoreductase-F iron-sulfur binding region	NADH-ubiquinone oxidoreductase-F iron-sulfur binding region. 		CDD:197996			52.174	46.0	22.0	0.0	448.0	493.0	1.0	46.0	2.14e-19	75.6			
tr|A0LLT8|A0LLT8_SYNFM	COG1905	NADH:ubiquinone oxidoreductase 24 kD subunit (chain E)	NADH:ubiquinone oxidoreductase 24 kD subunit (chain E) [Energy production and conversion]. NADH:ubiquinone oxidoreductase 24 kD subunit (chain E) is part of the Pathway/BioSystem: NADH dehydrogenase	1.6.5.3	CDD:441509			43.709	151.0	81.0	1.0	19.0	169.0	8.0	154.0	1.38e-62	188.0	METABOLISM	Energy production and conversion 	K00127,K00334
tr|A0LLT8|A0LLT8_SYNFM	KOG3196	NADH:ubiquinone oxidoreductase, NDUFV2/24 kD subunit	KOG3196, NADH:ubiquinone oxidoreductase, NDUFV2/24 kD subunit [Energy production and conversion]		CDD:231134			33.775	151.0	95.0	3.0	22.0	167.0	44.0	194.0	2.2799999999999998e-24	93.4	METABOLISM	Energy production and conversion 	
tr|A0LLT8|A0LLT8_SYNFM	TIGR01958	NADH-quinone oxidoreductase subunit NuoE	NADH-quinone oxidoreductase, E subunit. This model describes the E chain of complexes that resemble NADH-quinone oxidoreductases. The electron acceptor is a quinone, ubiquinone, in mitochondria and most bacteria, including Escherichia coli, where the recommended gene symbol is nuoB. This model does not identify proteins from chloroplast and cyanobacteria. [Energy metabolism, Electron transport]		CDD:131013	cellular organisms	131567	32.847	137.0	90.0	1.0	25.0	159.0	2.0	138.0	9.27e-32	109.0			
tr|A0LLT8|A0LLT8_SYNFM	cd03064		TRX-like [2Fe-2S] Ferredoxin (Fd) family, NADH:ubiquinone oxidoreductase (Nuo) subunit E subfamily; Nuo, also called respiratory chain Complex 1, is the entry point for electrons into the respiratory chains of bacteria and the mitochondria of eukaryotes. It is a multisubunit complex with at least 14 core subunits. It catalyzes the electron transfer of NADH to quinone coupled with the transfer of protons across the membrane, providing the proton motive force required for energy-consuming processes. Electrons are transferred from NADH to quinone through a chain of iron-sulfur clusters in Nuo, including the [2Fe-2S] cluster present in NuoE core subunit, also called the 24 kD subunit of Complex 1. This subfamily also include formate dehydrogenases, NiFe hydrogenases and NAD-reducing hydrogenases, that contain a NuoE domain. A subset of these proteins contain both NuoE and NuoF in a single chain. NuoF, also called the 51 kD subunit of Complex 1, contains one [4Fe-4S] cluster and also binds the NADH substrate and FMN.		CDD:239362			41.772	79.0	46.0	0.0	89.0	167.0	1.0	79.0	4.910000000000001e-27	96.0			
tr|A0LLT8|A0LLT8_SYNFM	cl00388		Protein Disulfide Oxidoreductases and Other Proteins with a Thioredoxin fold. This family contains proteins related to alkyl hydro-peroxide reductase (AhpC) and thiol specific antioxidant (TSA).		CDD:469754															
tr|A0LLT8|A0LLT8_SYNFM	pfam01257	NAD(P)H-dependent oxidoreductase subunit E	Thioredoxin-like [2Fe-2S] ferredoxin. 		CDD:460139	cellular organisms	131567	42.446	139.0	80.0	0.0	25.0	163.0	1.0	139.0	4.2200000000000005e-59	179.0			
tr|A0LLT9|A0LLT9_SYNFM	COG1894	NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F)	NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F) [Energy production and conversion]. NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F) is part of the Pathway/BioSystem: NADH dehydrogenase	1.6.5.3	CDD:441498			62.59	417.0	156.0	0.0	123.0	539.0	2.0	418.0	0.0	801.0	METABOLISM	Energy production and conversion 	K00124
tr|A0LLT9|A0LLT9_SYNFM	COG3411	2Fe-2S ferredoxin	2Fe-2S ferredoxin [Energy production and conversion]. 2Fe-2S ferredoxin is part of the Pathway/BioSystem: 2Fe2S	1.6.5.3	CDD:442637			36.905	84.0	49.0	2.0	19.0	102.0	3.0	82.0	9.62e-22	86.9	METABOLISM	Energy production and conversion 	
tr|A0LLT9|A0LLT9_SYNFM	KOG2658	NADH:ubiquinone oxidoreductase, NDUFV1/51kDa subunit	KOG2658, NADH:ubiquinone oxidoreductase, NDUFV1/51kDa subunit [Energy production and conversion]		CDD:230597			37.592	407.0	244.0	5.0	139.0	539.0	67.0	469.0	7.74e-111	336.0	METABOLISM	Energy production and conversion 	
tr|A0LLT9|A0LLT9_SYNFM	KOG3196	NADH:ubiquinone oxidoreductase, NDUFV2/24 kD subunit	KOG3196, NADH:ubiquinone oxidoreductase, NDUFV2/24 kD subunit [Energy production and conversion]		CDD:231134			25.287	87.0	55.0	3.0	23.0	105.0	115.0	195.0	2.62e-05	43.3	METABOLISM	Energy production and conversion 	
tr|A0LLT9|A0LLT9_SYNFM	cd02980		Thioredoxin (TRX)-like [2Fe-2S] Ferredoxin (Fd) family; composed of [2Fe-2S] Fds with a TRX fold (TRX-like Fds) and proteins containing domains similar to TRX-like Fd including formate dehydrogenases, NAD-reducing hydrogenases and the subunit E of NADH:ubiquinone oxidoreductase (NuoE). TRX-like Fds are soluble low-potential electron carriers containing a single [2Fe-2S] cluster. The exact role of TRX-like Fd is still unclear. It has been suggested that it may be involved in nitrogen fixation. Its homologous domains in large redox enzymes (such as Nuo and hydrogenases) function as electron carriers.		CDD:239278			27.848	79.0	54.0	1.0	23.0	101.0	2.0	77.0	3.09e-19	80.4			
tr|A0LLT9|A0LLT9_SYNFM	cl00388		Protein Disulfide Oxidoreductases and Other Proteins with a Thioredoxin fold. This family contains proteins related to alkyl hydro-peroxide reductase (AhpC) and thiol specific antioxidant (TSA).		CDD:469754															
tr|A0LLT9|A0LLT9_SYNFM	cl42527		NADH-quinone oxidoreductase subunit NuoF. This model describes the F chain of complexes that resemble NADH-quinone oxidoreductases. The electron acceptor is a quinone, ubiquinone, in mitochondria and most bacteria, including Escherichia coli, where the recommended gene symbol is nuoF. This family does not have any members in chloroplast or cyanobacteria, where the quinone may be plastoquinone and NADH may be replaced by NADPH, nor in Methanosarcina, where NADH is replaced by F420H2. [Energy metabolism, Electron transport]		CDD:455872															
tr|A0LLT9|A0LLT9_SYNFM	cl42527		NADH-quinone oxidoreductase subunit NuoF. This model describes the F chain of complexes that resemble NADH-quinone oxidoreductases. The electron acceptor is a quinone, ubiquinone, in mitochondria and most bacteria, including Escherichia coli, where the recommended gene symbol is nuoF. This family does not have any members in chloroplast or cyanobacteria, where the quinone may be plastoquinone and NADH may be replaced by NADPH, nor in Methanosarcina, where NADH is replaced by F420H2. [Energy metabolism, Electron transport]		CDD:455872															
tr|A0LLT9|A0LLT9_SYNFM	pfam01257	NAD(P)H-dependent oxidoreductase subunit E	Thioredoxin-like [2Fe-2S] ferredoxin. 		CDD:460139	cellular organisms	131567	23.596	89.0	51.0	5.0	19.0	100.0	65.0	143.0	2.79e-07	48.2			
tr|A0LLT9|A0LLT9_SYNFM	pfam01512	Respiratory-chain NADH dehydrogenase 51 Kd subunit (Provisional)	Respiratory-chain NADH dehydrogenase 51 Kd subunit. 		CDD:460237	cellular organisms	131567	41.279	172.0	79.0	4.0	168.0	339.0	1.0	150.0	9.11e-59	190.0			
tr|A0LLT9|A0LLT9_SYNFM	pfam10531	SLBB domain-containing protein	SLBB domain. 		CDD:463136	cellular organisms	131567	29.63	54.0	34.0	1.0	362.0	411.0	1.0	54.0	3.97e-05	39.6			
tr|A0LLT9|A0LLT9_SYNFM	pfam10589	NADH-ubiquinone oxidoreductase-F iron-sulfur binding region (Provisional)	NADH-ubiquinone oxidoreductase-F iron-sulfur binding region. 		CDD:463160	cellular organisms	131567	57.647	85.0	36.0	0.0	450.0	534.0	1.0	85.0	5.69e-49	162.0			
tr|A0LLT9|A0LLT9_SYNFM	smart00928	NADH-ubiquinone oxidoreductase-F iron-sulfur binding region	NADH-ubiquinone oxidoreductase-F iron-sulfur binding region. 		CDD:197996			52.174	46.0	22.0	0.0	449.0	494.0	1.0	46.0	9.489999999999999e-23	85.3			
tr|A0LLU0|A0LLU0_SYNFM	COG1034	NADH dehydrogenase/NADH:ubiquinone oxidoreductase 75 kD subunit (chain G)	NADH dehydrogenase/NADH:ubiquinone oxidoreductase 75 kD subunit (chain G) [Energy production and conversion]. NADH dehydrogenase/NADH:ubiquinone oxidoreductase 75 kD subunit (chain G) is part of the Pathway/BioSystem: NADH dehydrogenase	1.6.5.3	CDD:440657			40.686	204.0	117.0	1.0	4.0	207.0	2.0	201.0	1.1800000000000001e-64	204.0	METABOLISM	Energy production and conversion 	K00336
tr|A0LLU0|A0LLU0_SYNFM	KOG2282	NADH-ubiquinone oxidoreductase, NDUFS1/75 kDa subunit	KOG2282, NADH-ubiquinone oxidoreductase, NDUFS1/75 kDa subunit [Energy production and conversion]		CDD:230221			32.864	213.0	119.0	3.0	8.0	210.0	37.0	235.0	8.540000000000001e-32	120.0	METABOLISM	Energy production and conversion 	
tr|A0LLU0|A0LLU0_SYNFM	PRK07569	bidirectional hydrogenase complex protein HoxU	bidirectional hydrogenase complex protein HoxU; Validated		CDD:181037	Bacteria	2	62.393	234.0	88.0	0.0	1.0	234.0	1.0	234.0	1.5e-157	434.0			
tr|A0LLU0|A0LLU0_SYNFM	TIGR01973	NADH-quinone oxidoreductase subunit NuoG	NADH-quinone oxidoreductase, chain G. This model represents the G subunit (one of 14: A->N) of the NADH-quinone oxidoreductase complex I which generally couples NADH and ubiquinone oxidation/reduction in bacteria and mammalian mitochondria while translocating protons, but may act on NADPH and/or plastoquinone in cyanobacteria and plant chloroplasts. This model excludes related subunits from formate dehydrogenase complexes. [Energy metabolism, Electron transport]	1.6.5.11	CDD:273904	Bacteria	2	34.123	211.0	123.0	3.0	6.0	210.0	1.0	201.0	2.37e-41	145.0			
tr|A0LLU0|A0LLU0_SYNFM	cd00207		2Fe-2S iron-sulfur cluster binding domain. Iron-sulfur proteins play an important role in electron transfer processes and in various enzymatic reactions. The family includes plant and algal ferredoxins, which act as electron carriers in photosynthesis and ferredoxins, which participate in redox chains (from bacteria to mammals). Fold is ismilar to thioredoxin.		CDD:238126			30.0	90.0	39.0	3.0	4.0	75.0	1.0	84.0	4.9e-09	50.1			
tr|A0LLU0|A0LLU0_SYNFM	cl25360		Beta subunit of the DMSO Reductase (DMSOR) family. This family consists of the small beta iron-sulfur (FeS) subunit of the DMSO Reductase (DMSOR) family. Members of this family also contain a large, periplasmic molybdenum-containing alpha subunit and may have a small gamma subunit as well.  Examples of heterodimeric members with alpha and beta subunits include arsenite oxidase, and tungsten-containing formate dehydrogenase (FDH-T) while   heterotrimeric members containing alpha, beta, and gamma subunits include formate dehydrogenase-N (FDH-N), and nitrate reductase (NarGHI).  The beta subunit contains four Fe4/S4 and/or Fe3/S4 clusters which transfer the electrons from the alpha subunit to a hydrophobic integral membrane protein, presumably a cytochrome containing two b-type heme groups. The reducing equivalents are then transferred to menaquinone, which finally reduces the electron-accepting enzyme system.		CDD:355383															
tr|A0LLU0|A0LLU0_SYNFM	pfam10588	NADH-ubiquinone oxidoreductase-G iron-sulfur binding region (Provisional)	NADH-ubiquinone oxidoreductase-G iron-sulfur binding region. 		CDD:463159	cellular organisms	131567	57.5	40.0	17.0	0.0	85.0	124.0	1.0	40.0	6.65e-15	64.8			
tr|A0LLU0|A0LLU0_SYNFM	pfam13237	4Fe-4S dicluster domain-containing protein	4Fe-4S dicluster domain. This family includes proteins containing domains which bind to iron-sulfur clusters. Members include bacterial ferredoxins, various dehydrogenases, and various reductases. The structure of the domain is an alpha-antiparallel beta sandwich.		CDD:404174	cellular organisms	131567	28.333	60.0	35.0	1.0	144.0	203.0	5.0	56.0	9.89e-06	40.3			
tr|A0LLU0|A0LLU0_SYNFM	pfam13510	(2Fe-2S)-binding protein	2Fe-2S iron-sulfur cluster binding domain. The 2Fe-2S ferredoxin family have a general core structure consisting of beta(2)-alpha-beta(2) which a beta-grasp type fold. The domain is around one hundred amino acids with four conserved cysteine residues to which the 2Fe-2S cluster is ligated. This cluster appears within sarcosine oxidase proteins.		CDD:433268	cellular organisms	131567	36.709	79.0	45.0	2.0	4.0	78.0	4.0	81.0	9.52e-19	76.0			
tr|A0LLU0|A0LLU0_SYNFM	smart00929	NADH-ubiquinone oxidoreductase-G iron-sulfur binding region	NADH-ubiquinone oxidoreductase-G iron-sulfur binding region. 		CDD:214918			53.659	41.0	19.0	0.0	85.0	125.0	1.0	41.0	2.48e-15	62.2			
tr|A0LLX0|A0LLX0_SYNFM	COG4771	Outer membrane receptor for ferrienterochelin and colicins	Outer membrane receptor for ferrienterochelin and colicins [Inorganic ion transport and metabolism]. 		CDD:443803			26.636	657.0	416.0	16.0	32.0	669.0	3.0	612.0	2.76e-94	302.0	METABOLISM	Inorganic ion transport and metabolism 	
tr|A0LLX0|A0LLX0_SYNFM	PRK13483	ligand-gated channel protein	ligand-gated channel protein. 		CDD:184080	Proteobacteria	1224	24.32	588.0	332.0	24.0	26.0	558.0	3.0	532.0	2.88e-44	167.0			
tr|A0LLX0|A0LLX0_SYNFM	TIGR01785	TonB-dependent heme/hemoglobin receptor family protein (Provisional)	TonB-dependent heme/hemoglobin receptor family protein. This model represents the TonB-dependent outer membrane heme/hemoglobin receptor/transporter found in bacteria which live in contact with animals (which contain hemoglobin or other heme-bearing globins) or legumes (which contain leghemoglobin). Some species having hits to this model such as Nostoc, Caulobacter and Chlorobium do not have an obvious source of hemoglobin-like proteins in their biological niche and so the possibility exists that they act on some other substance. [Transport and binding proteins, Cations and iron carrying compounds, Transport and binding proteins, Porins]		CDD:273807	Bacteria	2	22.585	704.0	448.0	28.0	56.0	701.0	1.0	665.0	7.08e-59	208.0			
tr|A0LLX0|A0LLX0_SYNFM	cd01347		TonB dependent/Ligand-Gated channels are created by a monomeric 22 strand (22,24) anti-parallel beta-barrel. Ligands apparently bind to the large extracellular loops. The N-terminal 150-200 residues form a plug from the periplasmic end of barrel.   Energy (proton-motive force) and TonB-dependent conformational alteration of channel (parts of plug, and loops 7 and 8) allow passage of ligand. FepA residues 12-18 form the TonB box, which mediates the interaction with the TonB-containing  inner membrane complex. TonB preferentially interacts with ligand-bound receptors. Transport thru the channel may resemble passage thru an air lock.  In this model, ligand binding leads to closure of the extracellular end of pore, then a TonB-mediated  signal facillitates opening of the interior side of pore, deforming the N-terminal plug and allowing passage of the ligand to the periplasm. Such a mechanism would prevent the free diffusion of small molecules thru the pore.		CDD:238657			21.618	680.0	434.0	26.0	76.0	701.0	1.0	635.0	1.34e-61	215.0			
tr|A0LLX0|A0LLX0_SYNFM	pfam00593	TonB-dependent receptor	TonB dependent receptor. This model now only covers the conserved part of the barrel structure.		CDD:395474	Bacteria	2	21.042	499.0	341.0	14.0	229.0	700.0	3.0	475.0	2.16e-35	138.0			
tr|A0LLX0|A0LLX0_SYNFM	pfam07715	TonB-dependent receptor plug domain-containing protein	TonB-dependent Receptor Plug Domain. The Plug domain has been shown to be an independently folding subunit of the TonB-dependent receptors. It acts as the channel gate, blocking the pore until the channel is bound by ligand. At this point it under goes conformational changes opens the channel.		CDD:462243	Bacteria	2	32.759	116.0	62.0	4.0	69.0	177.0	1.0	107.0	5.18e-22	89.6			
